Month,Batch,Pot number,Nitrogen,Inoculum,Plant.size,Date
0,1,1,N,A,0.04,27-Mar
0,1,2,N,A,0.04,27-Mar
0,1,3,N,A,0.04,27-Mar
0,1,4,N,A,0.07,27-Mar
0,1,25,N,B,0.11,03-Apr
0,1,26,N,B,0.07,03-Apr
0,1,27,N,B,0.1,03-Apr
0,1,28,N,B,0.18,03-Apr
0,1,49,N,C,0.12,03-Apr
0,1,50,N,C,0.08,03-Apr
0,1,51,N,C,0.09,03-Apr
0,1,52,N,C,0.07,03-Apr
0,1,73,N,D,0.05,03-Apr
0,1,74,N,D,0.13,03-Apr
0,1,75,N,D,0.13,03-Apr
0,1,76,N,D,0.08,03-Apr
0,1,13,Y,A,0.06,27-Mar
0,1,14,Y,A,0.09,27-Mar
0,1,15,Y,A,0.05,27-Mar
0,1,16,Y,A,0.05,27-Mar
0,1,37,Y,B,0.31,03-Apr
0,1,38,Y,B,0.18,03-Apr
0,1,39,Y,B,0.26,03-Apr
0,1,40,Y,B,0.15,03-Apr
0,1,61,Y,C,0.11,03-Apr
0,1,62,Y,C,0.09,03-Apr
0,1,63,Y,C,0.15,03-Apr
0,1,64,Y,C,0.03,03-Apr
0,1,85,Y,D,0.09,03-Apr
0,1,86,Y,D,0.24,03-Apr
0,1,87,Y,D,0.14,03-Apr
0,1,88,Y,D,0.14,03-Apr
0,1,1,N,A,0.08,27-Mar
0,1,2,N,A,0.04,27-Mar
0,1,3,N,A,0.06,27-Mar
0,1,4,N,A,0.04,27-Mar
0,1,25,N,B,0.13,03-Apr
0,1,26,N,B,0.06,03-Apr
0,1,27,N,B,0.12,03-Apr
0,1,28,N,B,0.09,03-Apr
0,1,49,N,C,0.13,03-Apr
0,1,50,N,C,0.1,03-Apr
0,1,51,N,C,0.07,03-Apr
0,1,52,N,C,0.07,03-Apr
0,1,73,N,D,0.08,03-Apr
0,1,74,N,D,0.07,03-Apr
0,1,75,N,D,0.07,03-Apr
0,1,76,N,D,0.07,03-Apr
0,1,13,Y,A,0.08,27-Mar
0,1,14,Y,A,0.06,27-Mar
0,1,15,Y,A,0.06,27-Mar
0,1,16,Y,A,0.09,27-Mar
0,1,37,Y,B,0.15,03-Apr
0,1,38,Y,B,0.13,03-Apr
0,1,39,Y,B,0.2,03-Apr
0,1,40,Y,B,0.24,03-Apr
0,1,61,Y,C,0.16,03-Apr
0,1,62,Y,C,0.15,03-Apr
0,1,63,Y,C,0.12,03-Apr
0,1,64,Y,C,0.09,03-Apr
0,1,85,Y,D,0.08,03-Apr
0,1,86,Y,D,0.11,03-Apr
0,1,87,Y,D,0.1,03-Apr
0,1,88,Y,D,0.12,03-Apr
0,2,1,N,A,0.4,24-Apr
0,2,2,N,A,0.52,24-Apr
0,2,3,N,A,0.59,24-Apr
0,2,4,N,A,0.64,24-Apr
0,2,25,N,B,0.28,24-Apr
0,2,26,N,B,0.16,24-Apr
0,2,27,N,B,0.17,24-Apr
0,2,28,N,B,0.21,24-Apr
0,2,49,N,C,0.34,24-Apr
0,2,50,N,C,0.34,24-Apr
0,2,51,N,C,0.26,24-Apr
0,2,52,N,C,0.36,24-Apr
0,2,73,N,D,0.29,24-Apr
0,2,74,N,D,0.25,24-Apr
0,2,75,N,D,0.34,24-Apr
0,2,76,N,D,0.23,24-Apr
0,2,13,Y,A,0.7,24-Apr
0,2,14,Y,A,1.02,24-Apr
0,2,15,Y,A,0.98,24-Apr
0,2,16,Y,A,0.99,24-Apr
0,2,37,Y,B,0.73,24-Apr
0,2,38,Y,B,0.65,24-Apr
0,2,39,Y,B,1.15,24-Apr
0,2,40,Y,B,1.08,24-Apr
0,2,61,Y,C,0.88,24-Apr
0,2,62,Y,C,0.99,24-Apr
0,2,63,Y,C,1.01,24-Apr
0,2,64,Y,C,0.75,24-Apr
0,2,85,Y,D,0.76,24-Apr
0,2,86,Y,D,1.03,24-Apr
0,2,87,Y,D,0.42,24-Apr
0,2,88,Y,D,0.57,24-Apr
0,2,1,N,A,0.34,24-Apr
0,2,2,N,A,0.77,24-Apr
0,2,3,N,A,0.68,24-Apr
0,2,4,N,A,0.23,24-Apr
0,2,25,N,B,0.26,24-Apr
0,2,26,N,B,0.29,24-Apr
0,2,27,N,B,0.14,24-Apr
0,2,28,N,B,0.34,24-Apr
0,2,49,N,C,0.38,24-Apr
0,2,50,N,C,0.26,24-Apr
0,2,51,N,C,0.41,24-Apr
0,2,52,N,C,0.28,24-Apr
0,2,73,N,D,0.25,24-Apr
0,2,74,N,D,0.24,24-Apr
0,2,75,N,D,0.32,24-Apr
0,2,76,N,D,0.28,24-Apr
0,2,13,Y,A,1,24-Apr
0,2,14,Y,A,0.79,24-Apr
0,2,15,Y,A,0.86,24-Apr
0,2,16,Y,A,0.96,24-Apr
0,2,37,Y,B,1.42,24-Apr
0,2,38,Y,B,0.91,24-Apr
0,2,39,Y,B,0.95,24-Apr
0,2,40,Y,B,0.51,24-Apr
0,2,61,Y,C,0.68,24-Apr
0,2,62,Y,C,0.22,24-Apr
0,2,63,Y,C,0.84,24-Apr
0,2,64,Y,C,0.63,24-Apr
0,2,85,Y,D,0.41,24-Apr
0,2,86,Y,D,0.74,24-Apr
0,2,87,Y,D,0.75,24-Apr
0,2,88,Y,D,1.16,24-Apr
0,3,1,N,A,0.71,15-May
0,3,2,N,A,0.78,15-May
0,3,3,N,A,0.66,15-May
0,3,4,N,A,0.95,15-May
0,3,13,Y,A,1.51,15-May
0,3,14,Y,A,1.45,15-May
0,3,15,Y,A,1.26,15-May
0,3,16,Y,A,1.71,15-May
0,3,25,N,B,0.34,15-May
0,3,26,N,B,0.23,15-May
0,3,27,N,B,0.32,15-May
0,3,28,N,B,0.23,15-May
0,3,37,Y,B,1.39,15-May
0,3,38,Y,B,0.95,15-May
0,3,39,Y,B,1.84,15-May
0,3,40,Y,B,1.36,15-May
0,3,49,N,C,0.53,15-May
0,3,50,N,C,0.35,15-May
0,3,51,N,C,0.36,15-May
0,3,52,N,C,0.32,15-May
0,3,61,Y,C,1.01,15-May
0,3,62,Y,C,0.92,15-May
0,3,63,Y,C,0.43,15-May
0,3,64,Y,C,0.9,15-May
0,3,73,N,D,0.35,15-May
0,3,74,N,D,0.34,15-May
0,3,75,N,D,0.32,15-May
0,3,76,N,D,0.31,15-May
0,3,85,Y,D,1.54,15-May
0,3,86,Y,D,0.55,15-May
0,3,87,Y,D,1.31,15-May
0,3,88,Y,D,0.45,15-May
0,3,1,N,A,0.87,15-May
0,3,2,N,A,0.74,15-May
0,3,3,N,A,0.84,15-May
0,3,4,N,A,0.83,15-May
0,3,13,Y,A,1.88,15-May
0,3,14,Y,A,1.7,15-May
0,3,15,Y,A,1.56,15-May
0,3,16,Y,A,1.27,15-May
0,3,25,N,B,0.22,15-May
0,3,26,N,B,0.39,15-May
0,3,27,N,B,0.35,15-May
0,3,28,N,B,0.21,15-May
0,3,37,Y,B,0.91,15-May
0,3,38,Y,B,0.82,15-May
0,3,39,Y,B,1.85,15-May
0,3,40,Y,B,1.26,15-May
0,3,49,N,C,0.36,15-May
0,3,50,N,C,0.44,15-May
0,3,51,N,C,0.26,15-May
0,3,52,N,C,0.22,15-May
0,3,61,Y,C,1.13,15-May
0,3,62,Y,C,1.18,15-May
0,3,63,Y,C,1.01,15-May
0,3,64,Y,C,1.62,15-May
0,3,73,N,D,0.34,15-May
0,3,74,N,D,0.38,15-May
0,3,75,N,D,0.37,15-May
0,3,76,N,D,0.07,15-May
0,3,85,Y,D,1.22,15-May
0,3,86,Y,D,1.25,15-May
0,3,87,Y,D,1.38,15-May
0,3,88,Y,D,1.14,15-May
2,1,5,N,A,0.13,04-Jun
2,1,6,N,A,0.13,04-Jun
2,1,7,N,A,0.14,04-Jun
2,1,8,N,A,0.16,04-Jun
2,1,29,N,B,0.13,04-Jun
2,1,30,N,B,0.06,04-Jun
2,1,31,N,B,0.08,04-Jun
2,1,32,N,B,0.16,04-Jun
2,1,53,N,C,0.11,04-Jun
2,1,54,N,C,0.12,04-Jun
2,1,55,N,C,0.08,04-Jun
2,1,56,N,C,0.11,04-Jun
2,1,77,N,D,0.16,04-Jun
2,1,78,N,D,0.28,04-Jun
2,1,79,N,D,0.23,04-Jun
2,1,80,N,D,0.18,04-Jun
2,1,17,Y,A,0.28,04-Jun
2,1,18,Y,A,0.28,04-Jun
2,1,19,Y,A,0.2,04-Jun
2,1,20,Y,A,0.32,04-Jun
2,1,41,Y,B,0.21,04-Jun
2,1,42,Y,B,0.21,04-Jun
2,1,43,Y,B,0.49,04-Jun
2,1,44,Y,B,0.34,04-Jun
2,1,65,Y,C,0.3,04-Jun
2,1,66,Y,C,0.41,04-Jun
2,1,67,Y,C,0.48,04-Jun
2,1,68,Y,C,0.33,04-Jun
2,1,89,Y,D,0.19,04-Jun
2,1,90,Y,D,0.57,04-Jun
2,1,91,Y,D,0.44,04-Jun
2,1,92,Y,D,0.52,04-Jun
2,1,5,N,A,0.14,04-Jun
2,1,6,N,A,0.12,04-Jun
2,1,7,N,A,0.15,04-Jun
2,1,8,N,A,0.12,04-Jun
2,1,29,N,B,0.09,04-Jun
2,1,30,N,B,0.16,04-Jun
2,1,31,N,B,0.12,04-Jun
2,1,32,N,B,0.2,04-Jun
2,1,53,N,C,0.1,04-Jun
2,1,54,N,C,0.16,04-Jun
2,1,55,N,C,0.09,04-Jun
2,1,56,N,C,0.11,04-Jun
2,1,77,N,D,0.16,04-Jun
2,1,78,N,D,0.36,04-Jun
2,1,79,N,D,0.31,04-Jun
2,1,80,N,D,0.28,04-Jun
2,1,17,Y,A,0.32,04-Jun
2,1,18,Y,A,0.35,04-Jun
2,1,19,Y,A,0.16,04-Jun
2,1,20,Y,A,0.23,04-Jun
2,1,41,Y,B,0.36,04-Jun
2,1,42,Y,B,0.25,04-Jun
2,1,43,Y,B,0.35,04-Jun
2,1,44,Y,B,0.35,04-Jun
2,1,65,Y,C,0.29,04-Jun
2,1,66,Y,C,0.25,04-Jun
2,1,67,Y,C,0.58,04-Jun
2,1,68,Y,C,0.23,04-Jun
2,1,89,Y,D,0.36,04-Jun
2,1,90,Y,D,0.34,04-Jun
2,1,91,Y,D,0.34,04-Jun
2,1,92,Y,D,0.41,04-Jun
2,2,5,N,A,0.33,25-Jun
2,2,6,N,A,0.23,25-Jun
2,2,7,N,A,0.25,25-Jun
2,2,8,N,A,0.39,25-Jun
2,2,29,N,B,0.33,25-Jun
2,2,30,N,B,0.23,25-Jun
2,2,31,N,B,0.21,25-Jun
2,2,32,N,B,0.42,25-Jun
2,2,53,N,C,0.22,25-Jun
2,2,54,N,C,0.24,25-Jun
2,2,55,N,C,0.12,25-Jun
2,2,56,N,C,0.13,25-Jun
2,2,77,N,D,0.29,25-Jun
2,2,78,N,D,0.36,25-Jun
2,2,79,N,D,0.16,25-Jun
2,2,80,N,D,0.23,25-Jun
2,2,17,Y,A,1.05,25-Jun
2,2,18,Y,A,0.51,25-Jun
2,2,19,Y,A,0.7,25-Jun
2,2,20,Y,A,0.94,25-Jun
2,2,41,Y,B,1.03,25-Jun
2,2,42,Y,B,0.78,25-Jun
2,2,43,Y,B,0.91,25-Jun
2,2,44,Y,B,0.84,25-Jun
2,2,65,Y,C,0.62,25-Jun
2,2,66,Y,C,0.82,25-Jun
2,2,67,Y,C,1.09,25-Jun
2,2,68,Y,C,1.17,25-Jun
2,2,89,Y,D,0.71,25-Jun
2,2,90,Y,D,1.06,25-Jun
2,2,91,Y,D,1.22,25-Jun
2,2,92,Y,D,0.59,25-Jun
2,2,5,N,A,0.24,25-Jun
2,2,6,N,A,0.45,25-Jun
2,2,7,N,A,0.68,25-Jun
2,2,8,N,A,0.39,25-Jun
2,2,29,N,B,0.32,25-Jun
2,2,30,N,B,0.23,25-Jun
2,2,31,N,B,0.28,25-Jun
2,2,32,N,B,0.21,25-Jun
2,2,53,N,C,0.19,25-Jun
2,2,54,N,C,0.23,25-Jun
2,2,55,N,C,0.25,25-Jun
2,2,56,N,C,0.11,25-Jun
2,2,77,N,D,0.39,25-Jun
2,2,78,N,D,0.28,25-Jun
2,2,79,N,D,0.24,25-Jun
2,2,80,N,D,0.26,25-Jun
2,2,17,Y,A,0.93,25-Jun
2,2,18,Y,A,0.85,25-Jun
2,2,19,Y,A,0.83,25-Jun
2,2,20,Y,A,1.02,25-Jun
2,2,41,Y,B,0.54,25-Jun
2,2,42,Y,B,0.84,25-Jun
2,2,43,Y,B,1.36,25-Jun
2,2,44,Y,B,1.01,25-Jun
2,2,65,Y,C,0.52,25-Jun
2,2,66,Y,C,0.79,25-Jun
2,2,67,Y,C,1.24,25-Jun
2,2,68,Y,C,0.61,25-Jun
2,2,89,Y,D,0.84,25-Jun
2,2,90,Y,D,0.75,25-Jun
2,2,91,Y,D,1.17,25-Jun
2,2,92,Y,D,0.91,25-Jun
2,3,5,N,A,0.5,16-Jul
2,3,6,N,A,0.4,16-Jul
2,3,7,N,A,0.63,16-Jul
2,3,8,N,A,0.63,16-Jul
2,3,29,N,B,0.26,16-Jul
2,3,30,N,B,0.35,16-Jul
2,3,31,N,B,0.23,16-Jul
2,3,32,N,B,0.5,16-Jul
2,3,53,N,C,0.11,16-Jul
2,3,54,N,C,0.28,16-Jul
2,3,55,N,C,0.23,16-Jul
2,3,56,N,C,0.26,16-Jul
2,3,77,N,D,0.02,16-Jul
2,3,78,N,D,0.31,16-Jul
2,3,79,N,D,0.28,16-Jul
2,3,80,N,D,0.18,16-Jul
2,3,17,Y,A,1.11,16-Jul
2,3,18,Y,A,0.95,16-Jul
2,3,19,Y,A,0.83,16-Jul
2,3,20,Y,A,0.59,16-Jul
2,3,41,Y,B,0.7,16-Jul
2,3,42,Y,B,1.08,16-Jul
2,3,43,Y,B,1.14,16-Jul
2,3,44,Y,B,0.97,16-Jul
2,3,65,Y,C,0.87,16-Jul
2,3,66,Y,C,0.89,16-Jul
2,3,67,Y,C,1.33,16-Jul
2,3,68,Y,C,0.85,16-Jul
2,3,89,Y,D,1.27,16-Jul
2,3,90,Y,D,1.28,16-Jul
2,3,91,Y,D,0.92,16-Jul
2,3,92,Y,D,0.92,16-Jul
2,3,5,N,A,0.29,16-Jul
2,3,6,N,A,0.59,16-Jul
2,3,7,N,A,0.54,16-Jul
2,3,8,N,A,0.41,16-Jul
2,3,29,N,B,0.27,16-Jul
2,3,30,N,B,0.23,16-Jul
2,3,31,N,B,0.26,16-Jul
2,3,32,N,B,0.33,16-Jul
2,3,53,N,C,0.16,16-Jul
2,3,54,N,C,0.26,16-Jul
2,3,55,N,C,0.17,16-Jul
2,3,56,N,C,0.21,16-Jul
2,3,77,N,D,0.05,16-Jul
2,3,78,N,D,0.24,16-Jul
2,3,79,N,D,0.25,16-Jul
2,3,80,N,D,0.41,16-Jul
2,3,17,Y,A,1.22,16-Jul
2,3,18,Y,A,1.24,16-Jul
2,3,19,Y,A,1.39,16-Jul
2,3,20,Y,A,1.22,16-Jul
2,3,41,Y,B,0.78,16-Jul
2,3,42,Y,B,0.94,16-Jul
2,3,43,Y,B,0.65,16-Jul
2,3,44,Y,B,1.37,16-Jul
2,3,65,Y,C,0.67,16-Jul
2,3,66,Y,C,1.03,16-Jul
2,3,67,Y,C,0.65,16-Jul
2,3,68,Y,C,1.11,16-Jul
2,3,89,Y,D,0.94,16-Jul
2,3,90,Y,D,1.36,16-Jul
2,3,91,Y,D,0.69,16-Jul
2,3,92,Y,D,0.84,16-Jul